PersonID,Full_Name,Preferred_Name,Login_Name,Email_Address,Phone_Number,Is_Employee,Is_Salesperson,Is_System_User,Is_Permitted_To_Login,Employment_Started_When,Employment_Ended_When,Days_Worked,Version_Source
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,8/20/2014,4/2/2016,591,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/28/2015,5/8/2016,346,History
5,Eva Muirden,Eva,evam@wideworldimporters.com,evam@wideworldimporters.com,(415) 555-0102,1,0,1,0,1/1/2013,5/31/2016,1246,History
16,Archer Lamble,Archer,archerl@wideworldimporters.com,archerl@wideworldimporters.com,(415) 555-0102,1,1,1,0,1/1/2013,5/31/2016,1246,History
18,Katie Darwin,Katie,katied@wideworldimporters.com,katied@wideworldimporters.com,(415) 555-0102,1,0,1,1,9/16/2014,5/31/2016,623,History
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,11/13/2014,5/31/2016,565,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/2/2015,5/31/2016,515,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/26/2015,5/31/2016,432,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,8/2/2015,5/31/2016,303,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,9/12/2015,5/31/2016,262,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/5/2015,5/31/2016,178,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/12/2015,5/31/2016,171,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/15/2016,5/31/2016,106,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,2/25/2016,5/31/2016,96,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/11/2016,5/31/2016,81,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/13/2016,5/31/2016,79,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/20/2016,5/31/2016,72,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/25/2016,5/31/2016,67,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/27/2016,5/31/2016,65,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/2/2016,5/31/2016,59,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/8/2016,5/31/2016,23,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
18,Katie Darwin,Katie,katied@wideworldimporters.com,katied@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
16,Archer Lamble,Archer,archerl@wideworldimporters.com,archerl@wideworldimporters.com,(415) 555-0102,1,1,1,0,5/31/2016,5/31/2016,0,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
5,Eva Muirden,Eva,evam@wideworldimporters.com,evam@wideworldimporters.com,(415) 555-0102,1,0,1,0,5/31/2016,5/31/2016,0,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,5/31/2016,0,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,5/31/2016,0,History
